,datum,pocet_I_d,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,pocet_I_d_prepocitano,kumulativni_pocet_vylecenych_prepocitano,kumulativni_pocet_umrti_prepocitano
0,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-10,1.0,0.0,0.0,0.47506223855572677,0.0,0.0
10,2020-03-11,1.0,0.0,0.0,0.47506223855572677,0.0,0.0
11,2020-03-12,2.0,0.0,0.0,0.9501244771114535,0.0,0.0
12,2020-03-13,2.0,0.0,0.0,0.9501244771114535,0.0,0.0
13,2020-03-14,2.0,0.0,0.0,0.9501244771114535,0.0,0.0
14,2020-03-15,2.0,0.0,0.0,0.9501244771114535,0.0,0.0
15,2020-03-16,2.0,0.0,0.0,0.9501244771114535,0.0,0.0
16,2020-03-17,2.0,0.0,0.0,0.9501244771114535,0.0,0.0
17,2020-03-18,3.0,0.0,0.0,1.4251867156671805,0.0,0.0
18,2020-03-19,3.0,0.0,0.0,1.4251867156671805,0.0,0.0
19,2020-03-20,3.0,0.0,0.0,1.4251867156671805,0.0,0.0
20,2020-03-21,3.0,0.0,0.0,1.4251867156671805,0.0,0.0
21,2020-03-22,3.0,0.0,0.0,1.4251867156671805,0.0,0.0
22,2020-03-23,4.0,0.0,0.0,1.900248954222907,0.0,0.0
23,2020-03-24,4.0,0.0,0.0,1.900248954222907,0.0,0.0
24,2020-03-25,6.0,0.0,0.0,2.850373431334361,0.0,0.0
25,2020-03-26,9.0,0.0,0.0,4.275560147001541,0.0,0.0
26,2020-03-27,17.0,0.0,0.0,8.076058055447355,0.0,0.0
27,2020-03-28,18.0,0.0,0.0,8.551120294003082,0.0,0.0
28,2020-03-29,18.0,0.0,0.0,8.551120294003082,0.0,0.0
29,2020-03-30,19.0,0.0,0.0,9.026182532558808,0.0,0.0
30,2020-03-31,26.0,0.0,0.0,12.351618202448897,0.0,0.0
31,2020-04-01,31.0,0.0,0.0,14.726929395227529,0.0,0.0
32,2020-04-02,31.0,1.0,0.0,14.726929395227529,0.47506223855572677,0.0
33,2020-04-03,34.0,1.0,0.0,16.15211611089471,0.47506223855572677,0.0
34,2020-04-04,34.0,1.0,0.0,16.15211611089471,0.47506223855572677,0.0
35,2020-04-05,34.0,1.0,0.0,16.15211611089471,0.47506223855572677,0.0
36,2020-04-06,34.0,1.0,0.0,16.15211611089471,0.47506223855572677,0.0
37,2020-04-07,35.0,1.0,0.0,16.627178349450435,0.47506223855572677,0.0
38,2020-04-08,35.0,3.0,0.0,16.627178349450435,1.4251867156671805,0.0
39,2020-04-09,35.0,3.0,0.0,16.627178349450435,1.4251867156671805,0.0
40,2020-04-10,34.0,4.0,0.0,16.15211611089471,1.900248954222907,0.0
41,2020-04-11,32.0,6.0,0.0,15.201991633783257,2.850373431334361,0.0
42,2020-04-12,31.0,7.0,0.0,14.726929395227529,3.3254356698900875,0.0
43,2020-04-13,28.0,10.0,0.0,13.30174267956035,4.750622385557268,0.0
44,2020-04-14,26.0,12.0,0.0,12.351618202448897,5.700746862668722,0.0
45,2020-04-15,25.0,13.0,0.0,11.87655596389317,6.1758091012244485,0.0
46,2020-04-16,24.0,14.0,0.0,11.401493725337444,6.650871339780175,0.0
47,2020-04-17,19.0,20.0,0.0,9.026182532558808,9.501244771114536,0.0
48,2020-04-18,18.0,21.0,0.0,8.551120294003082,9.976307009670263,0.0
49,2020-04-19,18.0,21.0,0.0,8.551120294003082,9.976307009670263,0.0
50,2020-04-20,18.0,21.0,0.0,8.551120294003082,9.976307009670263,0.0
51,2020-04-21,18.0,21.0,0.0,8.551120294003082,9.976307009670263,0.0
52,2020-04-22,18.0,21.0,0.0,8.551120294003082,9.976307009670263,0.0
53,2020-04-23,18.0,21.0,0.0,8.551120294003082,9.976307009670263,0.0
54,2020-04-24,8.0,31.0,0.0,3.800497908445814,14.726929395227529,0.0
55,2020-04-25,8.0,31.0,0.0,3.800497908445814,14.726929395227529,0.0
56,2020-04-26,8.0,31.0,0.0,3.800497908445814,14.726929395227529,0.0
57,2020-04-27,8.0,31.0,0.0,3.800497908445814,14.726929395227529,0.0
58,2020-04-28,8.0,31.0,0.0,3.800497908445814,14.726929395227529,0.0
59,2020-04-29,3.0,36.0,0.0,1.4251867156671805,17.102240588006165,0.0
60,2020-04-30,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
61,2020-05-01,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
62,2020-05-02,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
63,2020-05-03,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
64,2020-05-04,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
65,2020-05-05,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
66,2020-05-06,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
67,2020-05-07,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
68,2020-05-08,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
69,2020-05-09,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
70,2020-05-10,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
71,2020-05-11,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
72,2020-05-12,1.0,38.0,0.0,0.47506223855572677,18.052365065117616,0.0
73,2020-05-13,0.0,39.0,0.0,0.0,18.527427303673345,0.0
74,2020-05-14,0.0,39.0,0.0,0.0,18.527427303673345,0.0
75,2020-05-15,0.0,39.0,0.0,0.0,18.527427303673345,0.0
76,2020-05-16,0.0,39.0,0.0,0.0,18.527427303673345,0.0
77,2020-05-17,0.0,39.0,0.0,0.0,18.527427303673345,0.0
78,2020-05-18,0.0,39.0,0.0,0.0,18.527427303673345,0.0
79,2020-05-19,0.0,39.0,0.0,0.0,18.527427303673345,0.0
80,2020-05-20,0.0,39.0,0.0,0.0,18.527427303673345,0.0
81,2020-05-21,0.0,39.0,0.0,0.0,18.527427303673345,0.0
82,2020-05-22,1.0,39.0,0.0,0.47506223855572677,18.527427303673345,0.0
83,2020-05-23,1.0,39.0,0.0,0.47506223855572677,18.527427303673345,0.0
84,2020-05-24,1.0,39.0,0.0,0.47506223855572677,18.527427303673345,0.0
85,2020-05-25,1.0,39.0,0.0,0.47506223855572677,18.527427303673345,0.0
86,2020-05-26,0.0,40.0,0.0,0.0,19.00248954222907,0.0
87,2020-05-27,0.0,40.0,0.0,0.0,19.00248954222907,0.0
88,2020-05-28,0.0,40.0,0.0,0.0,19.00248954222907,0.0
89,2020-05-29,0.0,40.0,0.0,0.0,19.00248954222907,0.0
90,2020-05-30,1.0,40.0,0.0,0.47506223855572677,19.00248954222907,0.0
91,2020-05-31,1.0,40.0,0.0,0.47506223855572677,19.00248954222907,0.0
92,2020-06-01,1.0,40.0,0.0,0.47506223855572677,19.00248954222907,0.0
93,2020-06-02,1.0,40.0,0.0,0.47506223855572677,19.00248954222907,0.0
94,2020-06-03,1.0,40.0,0.0,0.47506223855572677,19.00248954222907,0.0
95,2020-06-04,1.0,40.0,0.0,0.47506223855572677,19.00248954222907,0.0
96,2020-06-05,0.0,41.0,0.0,0.0,19.477551780784797,0.0
97,2020-06-06,0.0,41.0,0.0,0.0,19.477551780784797,0.0
98,2020-06-07,0.0,41.0,0.0,0.0,19.477551780784797,0.0
99,2020-06-08,0.0,41.0,0.0,0.0,19.477551780784797,0.0
100,2020-06-09,0.0,41.0,0.0,0.0,19.477551780784797,0.0
101,2020-06-10,0.0,41.0,0.0,0.0,19.477551780784797,0.0
102,2020-06-11,0.0,41.0,0.0,0.0,19.477551780784797,0.0
103,2020-06-12,0.0,41.0,0.0,0.0,19.477551780784797,0.0
104,2020-06-13,0.0,41.0,0.0,0.0,19.477551780784797,0.0
105,2020-06-14,0.0,41.0,0.0,0.0,19.477551780784797,0.0
106,2020-06-15,0.0,41.0,0.0,0.0,19.477551780784797,0.0
107,2020-06-16,0.0,41.0,0.0,0.0,19.477551780784797,0.0
108,2020-06-17,-1.0,42.0,0.0,-0.47506223855572677,19.952614019340526,0.0
109,2020-06-18,-1.0,42.0,0.0,-0.47506223855572677,19.952614019340526,0.0
110,2020-06-19,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
111,2020-06-20,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
112,2020-06-21,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
113,2020-06-22,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
114,2020-06-23,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
115,2020-06-24,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
116,2020-06-25,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
117,2020-06-26,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
118,2020-06-27,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
119,2020-06-28,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
120,2020-06-29,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
121,2020-06-30,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
122,2020-07-01,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
123,2020-07-02,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
124,2020-07-03,1.0,42.0,0.0,0.47506223855572677,19.952614019340526,0.0
125,2020-07-04,0.0,43.0,0.0,0.0,20.427676257896252,0.0
126,2020-07-05,0.0,43.0,0.0,0.0,20.427676257896252,0.0
127,2020-07-06,0.0,43.0,0.0,0.0,20.427676257896252,0.0
128,2020-07-07,0.0,43.0,0.0,0.0,20.427676257896252,0.0
129,2020-07-08,-1.0,44.0,0.0,-0.47506223855572677,20.902738496451978,0.0
130,2020-07-09,0.0,44.0,0.0,0.0,20.902738496451978,0.0
131,2020-07-10,0.0,44.0,0.0,0.0,20.902738496451978,0.0
132,2020-07-11,0.0,44.0,0.0,0.0,20.902738496451978,0.0
133,2020-07-12,0.0,44.0,0.0,0.0,20.902738496451978,0.0
134,2020-07-13,0.0,44.0,0.0,0.0,20.902738496451978,0.0
135,2020-07-14,1.0,44.0,0.0,0.47506223855572677,20.902738496451978,0.0
